Feature1,Feature2,Feature3,Feature4,Target
10.66,21.26,43.42,9.62,40.88
24.92,42.42,96.73,8.21,69.21
66.76,49.39,123.14,9.55,94.59
71.93,25.24,167.81,5.93,55.20
89.72,37.18,100.19,3.33,71.84
76.58,26.06,129.08,3.47,57.69
7.75,14.29,61.63,3.88,20.82
23.13,34.70,144.22,1.58,45.04
40.76,27.13,89.00,2.86,40.64
58.41,34.78,172.78,7.89,70.76
38.04,0.29,76.83,7.78,30.86
41.90,37.38,113.77,6.43,60.44
22.05,10.97,92.81,1.26,16.32
40.43,8.25,98.80,2.15,25.09
62.23,1.35,84.86,6.08,34.35
13.57,23.08,19.55,4.41,35.29
21.17,16.34,154.63,4.41,29.23
25.23,4.10,13.68,5.85,18.74
99.99,17.50,133.53,8.03,60.43
94.96,9.97,13.87,2.37,38.62
12.62,33.47,117.15,2.96,42.19
16.78,30.36,152.11,2.03,36.09
81.93,48.24,30.54,1.23,78.17
95.82,19.83,145.85,1.68,53.08
69.06,31.36,29.36,7.95,68.75
12.11,49.19,158.70,4.12,63.71
42.84,18.53,106.13,4.07,39.52
10.55,48.04,130.76,8.46,68.39
70.73,21.77,149.42,9.69,59.35
53.82,24.17,92.76,7.58,57.01
26.84,42.59,167.84,1.78,57.63
46.47,30.52,82.01,1.26,45.71
85.10,9.09,50.30,8.18,46.77
70.12,13.81,11.93,9.53,54.69
8.56,36.00,102.83,7.82,54.61
49.08,39.65,27.68,2.99,59.58
69.18,15.31,120.50,5.26,42.89
74.59,16.54,143.54,3.44,43.06
25.14,6.03,46.59,2.08,12.82
18.51,10.82,102.00,7.52,29.30
97.66,26.23,63.77,1.90,58.97
17.94,0.71,111.49,3.47,13.65
97.43,27.67,142.51,2.14,61.76
87.27,28.70,99.19,4.96,62.00
18.44,2.57,188.80,5.30,18.73
7.41,31.47,20.19,2.34,36.68
56.28,15.19,198.84,2.07,34.19
79.07,11.28,109.29,5.05,40.59
44.27,43.01,198.11,3.75,64.35
74.01,47.38,49.48,2.90,77.15
66.04,7.85,43.02,1.68,31.14
59.38,14.56,53.98,7.36,44.62
70.30,22.70,140.60,9.32,62.22
66.12,46.68,90.78,5.90,79.45
64.76,45.42,167.06,1.64,72.21
74.90,28.46,64.84,2.12,56.18
68.87,34.99,189.11,5.50,66.78
3.99,21.60,71.24,3.25,27.98
9.13,48.10,168.83,6.18,74.33
67.23,13.48,17.64,7.81,43.99
47.05,32.58,184.05,2.63,49.89
49.17,4.56,76.11,4.00,24.65
67.01,42.89,72.66,7.24,78.63
81.36,27.50,96.42,3.83,63.75
32.33,48.51,86.79,5.63,76.08
54.26,20.66,45.64,4.26,43.93
75.64,31.27,154.40,2.83,54.99
43.81,34.91,33.07,9.76,67.76
60.89,11.96,40.09,5.96,39.58
99.23,45.65,97.68,2.06,82.55
83.21,24.92,146.15,5.58,59.83
98.02,12.19,114.74,4.45,52.56
92.19,25.41,177.07,8.78,69.69
41.49,46.71,106.47,8.38,82.80
28.28,14.93,121.52,9.99,40.99
53.86,17.26,114.86,5.89,43.84
45.53,16.09,45.84,7.28,41.62
77.55,2.18,151.49,7.35,39.07
81.14,19.30,136.10,8.39,60.17
3.70,25.11,122.13,8.83,42.74
87.42,22.02,109.93,5.11,56.54
65.48,7.72,99.20,9.72,41.93
33.86,34.64,133.47,8.67,65.92
38.00,15.83,146.56,7.83,38.35
87.24,1.79,23.00,6.68,46.05
74.68,21.70,28.70,6.70,52.32
87.26,22.18,141.86,9.13,68.05
29.34,18.74,37.66,5.78,38.20
56.59,39.63,42.30,1.71,63.50
24.08,45.64,37.19,5.15,64.26
25.40,12.77,11.79,8.24,36.59
15.80,22.09,75.66,6.29,36.23
63.89,21.22,57.52,8.61,57.25
48.32,11.86,118.67,6.17,38.03
99.27,14.76,195.81,6.92,56.47
68.58,37.23,19.32,6.46,74.71
49.67,45.21,64.38,8.19,79.08
63.66,31.04,138.78,7.49,64.16
65.92,41.92,129.37,9.13,80.75
44.08,28.98,149.15,1.81,43.71
29.51,37.37,43.37,2.19,46.49
53.09,45.67,167.79,3.31,69.97
82.47,24.09,163.23,7.72,62.32
96.29,7.04,193.64,8.74,51.61
72.42,49.00,193.78,8.24,88.52
1.39,26.83,96.41,7.06,43.66
67.23,29.23,166.26,9.46,69.16
2.50,44.21,116.67,9.24,66.92
22.14,3.16,166.53,9.18,26.31
13.98,47.31,67.83,5.43,67.64
9.72,44.36,35.78,5.08,58.38
94.60,20.96,151.03,2.39,49.58
41.49,4.95,102.98,4.67,25.99
37.05,22.17,190.61,8.70,49.71
9.94,34.28,113.45,9.80,56.41
18.98,6.11,171.13,5.09,22.34
66.28,32.09,123.46,1.19,54.62
12.59,28.23,23.04,7.89,44.94
20.72,10.80,175.24,3.96,25.15
0.28,42.92,37.49,2.17,53.33
25.07,8.72,135.60,1.23,20.17
23.79,16.19,43.11,1.47,24.42
74.17,26.30,151.68,5.29,58.94
10.91,25.19,189.63,1.39,27.83
78.32,43.35,109.08,5.12,80.89
47.90,20.08,140.36,5.41,43.79
90.97,3.67,25.35,6.47,44.23
63.31,27.42,71.79,9.95,66.57
53.06,22.69,125.03,1.89,39.60
65.09,38.45,146.96,2.94,61.74
45.16,11.42,74.40,5.08,31.81
42.68,33.26,81.12,2.37,51.39
92.30,3.36,168.04,1.84,36.01
81.18,27.82,121.43,6.05,65.92
32.96,6.11,77.18,6.99,28.94
72.11,48.42,124.08,4.16,78.12
57.79,10.64,134.78,3.02,35.00
36.76,38.13,119.08,8.26,69.23
84.52,48.73,165.50,6.52,91.66
92.91,41.47,60.82,2.62,76.20
70.27,15.45,74.57,1.05,38.24
40.08,7.09,130.30,1.28,17.81
74.61,10.76,89.77,4.07,37.37
77.68,28.38,26.14,1.47,56.41
15.74,30.89,138.05,3.45,41.02
44.20,13.66,153.44,2.02,26.96
42.99,14.16,138.91,5.38,35.72
39.53,29.97,11.46,3.71,48.00
21.12,6.86,58.55,3.95,22.96
17.57,19.01,143.70,5.50,33.17
83.34,40.31,23.69,8.76,84.23
92.12,43.11,119.39,6.16,85.82
70.95,20.88,31.88,1.19,41.26
61.81,41.60,184.76,1.79,69.28
84.45,12.17,121.89,5.72,45.76
33.95,16.65,41.95,5.59,36.54
11.40,25.50,182.13,4.14,35.51
81.50,11.81,37.82,2.78,36.06
60.24,38.01,134.55,2.59,63.07
75.44,37.99,95.29,9.32,79.08
56.45,31.76,128.66,8.78,65.54
6.83,22.11,67.54,3.47,28.36
5.62,25.37,68.98,5.07,39.50
7.67,43.21,172.51,6.54,62.76
50.71,23.14,115.32,8.13,55.53
80.98,32.59,71.09,5.28,66.72
15.09,3.09,29.67,9.09,22.00
50.45,8.63,57.07,4.94,34.54
43.94,26.14,40.16,4.36,46.85
33.84,29.89,159.95,6.83,55.48
6.59,4.73,138.89,3.56,12.05
90.63,43.66,73.34,6.24,82.71
14.14,17.49,193.86,7.29,31.64
93.80,15.48,81.57,8.12,59.37
81.32,33.51,167.50,7.65,71.90
64.60,21.17,78.75,4.26,45.06
18.03,10.71,190.06,5.38,25.46
7.72,42.22,29.22,7.94,63.25
83.51,44.18,17.17,4.03,79.95
37.67,8.11,167.96,7.94,31.50
80.90,8.28,93.16,4.70,38.91
44.42,14.25,152.22,5.04,34.70
53.40,15.47,163.64,5.22,40.96
94.71,49.22,97.72,3.54,87.37
38.19,26.37,193.59,8.35,53.10
25.00,32.06,176.08,5.99,50.61
10.26,42.29,171.72,3.57,55.37
90.53,7.37,93.12,9.52,49.24
22.20,22.56,76.42,1.24,32.51
23.58,49.73,81.23,1.25,64.61
93.08,41.96,133.49,8.12,90.34
82.98,34.80,36.37,7.35,75.52
44.86,0.26,25.05,3.30,21.42
72.72,26.39,31.13,3.59,52.12
30.12,2.39,89.77,8.15,26.60
90.51,29.84,13.12,5.64,68.41
24.19,7.18,91.56,6.53,25.49
66.44,4.28,195.18,1.61,28.15
52.61,25.37,197.78,5.99,50.31
63.57,49.05,58.19,1.15,76.34
78.85,17.24,149.26,6.65,51.97
33.25,2.22,113.74,8.32,25.19
17.51,38.96,98.28,7.26,57.25
6.31,38.81,96.96,3.64,46.97
4.38,9.97,17.96,9.40,21.30
54.30,12.67,153.13,2.72,31.87
35.70,39.04,174.50,3.99,60.28
88.95,37.17,179.98,4.48,74.94
97.37,24.81,104.53,9.32,67.16
72.71,3.95,124.47,8.40,39.99
54.55,16.06,25.21,6.95,43.36
42.61,34.49,76.79,1.38,53.24
87.00,17.63,199.65,3.47,53.17
7.50,31.88,79.03,8.21,49.53
67.94,47.64,37.13,6.47,84.66
6.72,38.93,79.60,4.45,50.48
56.72,30.25,139.02,9.54,64.34
57.39,26.47,85.63,6.85,58.35
24.96,5.67,149.78,5.49,20.07
26.18,13.01,94.79,9.97,40.85
28.56,45.82,103.33,2.10,63.40
89.87,22.26,26.68,7.14,60.89
84.55,15.98,76.01,1.58,38.47
85.14,35.59,186.19,6.74,73.77
79.37,25.44,33.06,2.81,56.28
2.63,27.70,80.09,8.23,46.05
55.16,30.60,26.38,3.78,57.99
52.57,38.46,166.43,1.66,59.00
97.24,32.12,95.50,7.12,73.93
78.03,31.99,44.57,9.70,78.73
43.26,45.54,20.53,2.12,66.97
32.27,35.47,75.74,9.47,66.12
89.49,42.30,57.62,6.72,84.61
30.28,26.67,105.49,2.52,39.27
94.16,7.71,135.16,7.49,45.93
56.36,41.26,15.39,1.41,60.82
64.15,28.84,133.71,7.90,61.60
49.80,31.36,65.04,9.61,67.59
48.29,40.23,140.15,3.68,64.94
43.96,24.21,48.76,6.46,48.67
31.26,35.92,149.50,8.75,63.83
37.05,28.08,70.63,5.20,49.23
26.75,12.40,28.39,3.61,23.39
24.83,43.27,40.34,3.95,63.33
57.77,15.64,154.99,5.48,39.03
30.85,1.16,189.59,5.55,21.23
96.67,10.76,77.05,1.45,36.57
65.43,23.53,111.97,8.62,58.36
43.09,44.12,148.23,7.87,73.95
57.03,9.73,115.11,1.66,29.76
50.43,38.22,63.15,9.90,74.41
97.51,19.70,161.03,4.05,54.02
93.89,37.75,47.82,5.58,77.38
13.70,16.65,100.01,5.11,28.70
60.63,25.78,72.31,6.52,59.06
73.93,14.96,73.91,8.45,56.31
53.23,35.44,66.96,8.34,66.10
97.99,29.19,161.38,7.53,74.62
68.80,1.33,100.17,9.70,41.12
57.76,36.07,120.87,2.53,56.21
62.90,30.99,169.82,2.33,54.15
94.82,5.49,13.60,3.82,39.82
15.14,34.53,87.97,7.97,59.12
73.58,3.11,36.24,2.87,27.53
32.50,33.11,109.84,3.82,52.83
34.23,17.71,156.68,7.49,44.60
64.33,34.67,125.91,2.73,60.11
22.49,48.65,66.55,3.60,69.20
20.73,35.25,70.24,4.14,54.07
27.35,6.09,138.56,4.42,20.11
98.02,40.92,191.38,8.24,88.67
71.41,17.32,94.05,3.31,44.89
47.91,10.10,112.33,9.40,40.18
61.57,29.34,56.07,7.03,60.01
53.10,31.90,19.97,4.72,57.49
77.08,0.26,114.57,9.36,41.98
40.69,46.75,176.90,5.30,75.28
32.12,32.29,182.51,1.81,50.55
57.41,26.76,147.39,9.43,63.21
88.22,8.79,184.73,9.97,53.14
39.70,24.77,187.96,9.66,57.92
0.93,28.40,30.39,9.85,45.02
28.46,49.45,113.23,5.45,77.07
46.80,9.64,31.40,2.46,25.08
45.89,12.86,45.38,7.63,41.15
75.73,8.77,172.67,9.07,45.24
82.70,25.76,26.48,7.02,64.65
32.36,12.40,59.55,3.12,27.26
75.38,47.70,67.37,7.51,91.46
69.28,3.11,32.46,3.76,30.79
40.54,25.13,180.07,7.33,49.77
91.61,14.75,126.78,2.97,47.26
13.36,7.66,152.07,6.45,21.10
47.08,26.88,136.18,2.97,47.02
24.75,37.74,175.90,1.74,46.95
7.81,28.21,21.73,5.93,42.88
50.55,28.64,38.47,3.95,50.37
20.54,29.16,27.28,5.59,46.31
80.87,22.67,107.52,5.11,58.06
80.69,36.16,85.23,8.35,78.42
74.58,28.92,18.61,4.10,64.71
93.46,3.45,187.42,1.29,35.21
40.89,38.45,155.51,9.80,69.51
99.29,19.12,175.23,9.16,63.11
37.56,34.14,135.74,5.85,56.15
17.85,26.86,110.48,7.55,44.50
22.27,0.17,14.32,3.69,13.32
53.19,41.17,57.03,4.12,65.45
27.56,46.87,147.75,2.02,63.63
76.61,44.19,12.97,2.85,74.00
10.09,1.68,123.58,7.33,21.11
40.23,11.72,51.28,8.77,40.93
5.64,25.19,64.96,8.34,42.90
59.79,33.63,70.93,3.72,57.95
14.33,33.01,52.00,3.70,49.81
87.97,45.58,128.94,4.84,86.76
49.56,48.61,188.90,7.04,82.48
41.63,7.46,81.53,7.79,31.82
47.35,42.47,67.14,7.37,74.73
56.24,48.39,115.88,2.21,69.76
24.29,10.17,132.87,9.30,35.22
72.46,9.52,61.01,7.06,41.93
60.29,43.68,45.75,7.86,80.64
47.94,43.47,73.26,9.61,76.49
1.53,46.86,192.79,2.06,57.24
24.26,30.22,48.86,9.24,54.71
55.21,38.78,82.33,5.80,67.82
51.28,24.86,28.74,9.83,59.46
46.95,41.99,183.72,4.34,65.32
22.13,7.30,59.55,9.41,32.35
57.91,20.88,38.96,3.97,42.10
49.93,32.73,140.12,3.32,57.40
82.16,48.33,131.92,5.42,89.69
16.93,36.02,102.78,9.25,64.28
54.21,32.09,21.16,1.30,53.83
66.82,38.22,88.35,8.58,73.18
23.14,35.36,11.74,5.55,51.77
66.68,30.83,101.81,5.39,63.88
0.66,27.58,12.25,5.76,37.47
1.71,40.66,138.07,8.26,64.99
90.98,5.35,28.30,2.34,36.58
81.52,13.37,85.41,4.36,46.44
40.60,28.25,198.14,3.03,44.17
65.37,42.91,154.32,1.84,65.18
37.93,27.64,20.66,1.09,41.61
43.39,39.22,117.51,8.72,72.55
9.54,26.41,18.08,2.90,36.70
47.55,2.33,24.13,9.33,30.43
89.93,28.18,16.25,9.36,70.67
58.70,37.61,145.42,4.58,70.68
7.69,8.12,55.69,8.51,21.59
33.17,37.78,36.59,9.90,70.65
72.42,25.04,195.12,1.48,45.06
34.06,38.45,191.42,4.57,60.82
77.36,1.48,61.93,9.93,41.22
94.11,21.59,139.14,6.95,62.74
8.57,30.93,161.63,7.42,48.40
71.17,31.70,150.53,3.85,61.16
10.66,0.26,68.57,4.24,11.42
18.74,22.44,115.40,4.67,37.28
2.63,17.70,27.68,6.38,28.74
29.18,19.39,26.09,9.11,47.02
90.52,48.91,118.67,2.53,84.48
30.11,24.66,22.02,4.91,42.99
42.11,24.21,24.62,3.27,41.96
59.38,9.78,30.32,3.74,35.48
94.88,16.61,127.84,8.24,59.32
81.55,42.98,195.10,2.23,76.16
32.07,47.36,48.16,3.83,73.31
29.14,34.75,103.29,6.18,55.50
24.24,18.80,165.13,4.54,35.64
59.22,27.28,139.53,5.95,58.36
95.30,23.08,144.59,4.95,59.35
81.90,39.78,87.74,5.49,79.96
63.33,12.10,135.15,7.44,43.98
99.07,23.96,86.15,5.56,62.15
92.04,34.59,113.29,8.12,76.43
53.69,31.91,26.15,7.92,67.79
65.76,17.75,132.93,1.40,41.41
39.96,37.63,193.49,4.87,59.83
1.05,12.94,107.03,5.67,20.28
44.58,19.56,156.75,6.30,42.22
50.05,17.25,14.67,1.94,29.89
11.61,47.03,36.92,3.81,64.20
45.53,10.34,101.76,5.29,30.12
31.89,15.01,163.94,2.04,27.82
84.92,32.40,138.66,2.48,64.50
17.45,8.01,116.37,9.63,30.28
23.19,20.25,45.05,6.76,39.11
61.41,9.87,122.52,4.50,35.42
70.47,10.29,152.94,8.28,47.45
87.20,9.35,71.94,5.12,44.22
26.24,43.13,110.27,6.75,64.70
58.70,17.40,170.65,6.56,45.10
81.37,35.30,66.51,6.53,74.06
11.79,15.27,44.78,7.24,32.25
51.08,20.91,36.19,4.45,44.11
69.34,32.26,199.98,5.99,67.19
48.96,7.01,69.77,5.06,32.07
0.96,6.83,164.89,9.67,26.24
50.54,24.75,140.09,4.74,49.85
8.27,1.54,154.60,3.63,8.40
27.49,26.88,41.96,5.12,43.82
54.97,5.66,31.70,7.98,33.27
82.33,18.34,166.30,1.37,43.40
98.98,5.12,167.71,7.76,45.57
29.77,49.97,95.45,4.14,73.09
99.40,38.78,55.02,8.30,83.92
58.79,17.53,145.04,6.69,47.46
20.66,10.35,21.28,4.16,23.99
28.11,26.94,71.49,7.34,49.25
85.80,49.27,139.07,1.86,84.84
96.28,39.28,184.57,9.93,91.08
86.61,12.48,145.17,8.46,52.98
76.15,33.81,103.00,6.20,69.57
45.20,31.68,177.22,1.84,51.08
51.56,13.91,187.90,4.32,37.34
0.25,38.71,149.22,7.58,54.13
45.84,33.21,78.06,1.57,49.05
42.96,10.59,61.02,8.46,37.17
33.78,28.90,117.57,5.37,46.98
4.84,4.98,158.94,5.14,18.17
12.42,42.88,93.84,1.01,52.47
68.86,6.60,133.50,2.43,30.22
93.27,13.70,134.37,3.25,43.27
16.55,19.82,68.05,7.29,40.04
23.41,32.77,143.70,1.01,40.85
22.62,34.00,11.76,7.26,55.35
81.71,49.41,90.24,2.19,84.73
73.08,5.12,69.54,8.93,44.54
13.71,38.67,153.10,2.20,49.95
53.05,0.42,133.50,4.96,26.46
72.24,31.40,38.76,4.71,61.24
8.67,5.02,152.96,6.31,15.55
38.40,48.16,69.76,2.26,68.30
55.34,30.00,125.44,8.01,62.89
69.05,42.39,135.10,3.71,70.62
74.78,14.78,20.37,9.08,53.90
95.47,24.74,31.42,5.50,61.10
97.77,49.34,187.45,2.19,85.96
86.08,28.42,79.43,7.15,67.71
77.04,0.83,22.83,3.36,25.03
3.98,3.02,159.97,5.56,12.71
41.54,35.09,25.66,5.83,58.45
61.60,13.87,68.88,5.60,42.35
53.64,19.54,130.52,8.51,53.45
68.11,3.31,142.75,7.57,37.32
8.62,21.72,96.14,6.48,35.70
30.93,37.08,150.73,2.07,50.80
16.38,47.65,109.37,8.05,70.05
72.08,8.35,34.12,8.03,43.92
77.14,1.47,163.35,3.45,34.97
6.39,35.62,119.56,1.69,39.91
49.96,28.34,79.86,3.30,49.45
10.29,28.70,147.33,3.06,36.77
86.29,12.23,99.64,4.45,44.49
15.01,46.56,172.92,5.98,69.37
41.94,16.09,89.09,7.48,40.55
27.13,3.89,80.83,5.52,22.34
80.43,49.07,191.28,1.62,80.15
46.51,14.12,170.52,3.95,33.89
20.07,28.19,67.74,6.60,45.98
46.39,29.58,103.74,7.95,60.34
76.05,12.26,11.21,4.69,45.90
23.30,17.32,169.52,8.89,40.09
65.73,42.45,148.17,1.94,68.38
52.98,11.91,103.49,1.54,31.93
9.30,46.06,180.48,5.68,63.07
70.08,18.62,195.17,1.76,42.22
82.00,3.74,117.89,4.91,36.98
96.42,11.84,59.59,3.84,47.31
73.54,15.90,61.67,1.67,36.13
20.27,39.00,121.09,2.40,52.83
40.65,26.80,193.28,2.87,45.43
30.83,13.25,32.78,2.42,23.97
69.69,2.02,168.83,3.95,26.23
9.12,12.41,77.59,5.62,24.02
99.07,1.55,86.83,5.07,38.86
74.81,12.49,97.79,8.24,49.14
83.04,49.13,34.84,8.41,95.27
37.22,31.51,132.49,6.24,55.19
2.18,3.22,181.47,4.99,15.99
12.88,45.25,167.58,3.98,62.13
16.80,28.69,166.12,4.55,42.98
2.95,34.16,42.83,2.93,41.72
88.34,1.73,127.64,3.21,35.68
29.51,20.60,114.63,1.55,30.77
19.95,44.23,109.90,6.68,67.63
80.22,39.74,197.99,8.04,80.00
48.47,45.63,105.45,4.50,74.02
17.98,15.94,51.61,9.06,38.40
99.15,26.47,155.70,10.00,73.56
97.40,5.01,134.80,3.40,41.37
5.59,49.82,51.69,8.62,70.11
79.74,17.74,169.45,8.61,57.94
80.62,34.88,183.66,1.25,64.70
70.06,47.38,117.09,6.07,86.20
88.16,24.61,68.72,5.41,65.93
9.03,11.63,51.57,5.74,28.71
20.15,6.52,146.22,9.27,30.27
84.43,16.18,14.16,6.28,55.63
84.65,43.03,192.51,4.36,77.73
94.19,19.78,29.20,3.72,54.13
94.87,39.59,192.53,6.84,83.81
17.42,48.44,141.78,9.36,76.53
58.90,8.77,68.30,7.20,36.92
12.73,36.44,190.27,9.54,56.24
96.52,1.62,124.45,9.29,51.60
96.75,11.04,117.45,9.43,58.03
23.80,49.12,41.90,8.97,80.37
8.87,35.45,131.43,8.98,54.88
24.95,3.39,58.77,1.97,14.27
0.13,19.30,149.19,9.72,37.70
37.87,27.30,29.27,5.32,46.45
86.41,32.55,140.56,2.46,67.15
29.49,15.94,190.82,1.67,27.89
17.01,18.77,149.08,5.92,33.95
59.40,30.68,101.72,1.28,50.39
94.24,8.25,179.05,2.41,40.49
19.00,34.86,147.19,7.57,57.45
26.53,14.08,55.13,1.45,19.21
15.36,18.04,91.25,3.65,26.28
66.20,30.01,47.94,1.23,52.66
8.19,42.19,68.59,4.58,57.43
48.91,33.05,27.32,5.90,61.87
36.94,22.29,60.03,5.19,45.84
22.62,13.43,21.71,7.77,33.41
34.38,27.07,194.43,6.31,48.16
55.36,42.04,165.50,4.77,67.03
47.48,44.08,100.49,1.71,63.77
90.28,35.72,105.40,9.10,81.84
62.03,6.01,153.87,2.56,25.18
98.44,48.61,163.61,2.14,81.42
43.54,49.86,129.17,8.51,87.02
25.79,45.54,183.69,1.60,58.44
32.61,13.81,97.05,8.86,40.78
78.66,31.15,109.29,4.78,63.46
58.79,37.92,188.53,9.32,76.13
56.27,5.05,64.36,5.82,31.45
38.30,24.28,125.70,1.34,38.86
27.54,7.19,125.64,7.24,32.15
33.15,11.88,151.69,9.29,40.00
89.70,1.01,165.30,3.73,34.78
69.62,4.91,175.09,2.21,30.80
97.42,22.16,166.91,3.42,54.03
18.79,10.57,166.55,7.67,30.84
75.95,43.36,165.99,5.64,81.35
50.68,6.78,171.75,8.91,40.23
2.89,9.64,168.26,8.53,24.68
91.80,35.23,62.06,8.41,81.90
50.51,31.77,33.54,1.28,47.67
17.76,43.52,121.51,4.15,62.19
16.35,44.72,152.30,7.20,67.41
16.29,28.61,193.33,8.71,51.36
64.74,33.88,61.13,4.69,66.06
76.76,0.44,183.19,6.83,37.87
60.11,0.42,57.95,8.25,33.73
64.27,21.19,81.53,4.14,51.92
25.20,23.33,138.67,8.42,45.92
51.15,33.12,170.22,4.37,58.23
64.73,30.45,66.71,1.97,58.88
64.06,43.07,59.62,7.40,82.11
89.24,14.94,38.49,7.89,58.86
80.24,30.00,135.50,7.13,65.52
72.13,32.77,199.52,3.33,59.17
3.53,35.40,118.69,2.71,43.40
72.65,11.12,111.58,8.06,48.60
50.73,42.27,169.72,8.89,76.10
18.11,4.88,34.31,3.33,16.74
18.31,33.99,73.77,1.80,40.15
35.53,37.21,68.35,8.09,63.87
29.41,42.56,99.40,8.80,72.04
58.36,47.22,23.53,9.00,81.63
38.17,14.92,20.27,8.69,42.48
13.74,10.01,87.75,6.12,26.02
31.64,35.78,158.00,5.39,56.06
63.10,8.84,130.55,1.04,27.25
16.86,38.22,103.02,7.87,64.24
8.80,30.72,130.36,4.63,43.83
3.77,9.97,80.89,1.13,10.78
32.22,41.66,46.21,7.09,67.27
69.35,17.22,34.50,4.45,43.87
58.87,8.35,166.53,3.68,30.58
59.64,16.89,178.72,9.96,56.14
34.27,45.07,78.26,2.70,68.25
40.34,11.42,148.16,2.18,24.22
73.41,29.48,42.11,4.30,58.89
87.65,12.79,111.60,1.44,39.23
99.47,33.10,134.18,1.18,64.84
38.03,27.36,100.14,2.38,40.66
69.52,31.52,67.21,6.95,64.70
60.56,6.86,167.82,1.94,25.56
71.88,5.89,31.66,1.96,30.14
26.30,26.16,48.32,7.33,48.26
29.54,1.97,104.31,2.87,17.19
0.27,33.58,182.31,8.52,50.37
66.90,7.46,27.12,5.61,37.21
25.59,11.56,197.85,3.66,23.55
46.43,4.99,43.19,1.36,19.08
31.27,36.93,28.05,7.82,66.68
4.59,42.60,136.04,2.53,50.01
62.18,43.92,27.66,8.33,84.27
18.29,20.04,192.84,3.45,27.37
79.99,32.44,161.41,2.02,62.94
69.62,2.93,189.07,2.43,25.39
80.23,33.92,44.44,4.42,68.76
35.86,1.44,140.05,8.55,30.50
92.04,5.65,88.14,1.41,34.28
26.16,15.71,143.87,7.10,35.54
56.50,48.89,137.27,4.04,75.32
52.31,35.03,28.10,6.96,65.41
